Record_ID,Company,Industry,Country,Reporting_Year,ESG_Category,Metric,Scope,Value,Unit,Source_Type,Source_Reference,Required,Expected_Unit
R0177,TerraBuild Materials,Construction,Australia,2025.0,Climate Strategy,Net Zero Target,N/A,Yes,Yes/No,Internal ESG System,SRC-2025-09,True,Yes/No
R0178,TerraBuild Materials,Construction,Australia,2025.0,Energy,Renewable Energy Consumption,N/A,,MWh,Internal ESG System,SRC-2025-09,True,MWh
R0179,TerraBuild Materials,Construction,Australia,2025.0,Climate,Scope 1 Emissions,Emissions,20218.1,tCO2e,Internal ESG System,SRC-2025-09,True,tCO2e
R0180,TerraBuild Materials,Construction,Australia,2025.0,Climate,Scope 2 Emissions,Emissions,30172.2,tCO2e,Internal ESG System,SRC-2025-09,True,tCO2e
R0181,TerraBuild Materials,Construction,Australia,2025.0,Climate,Scope 3 Emissions,Emissions,66802.5,tCO2e,Internal ESG System,SRC-2025-09,True,tCO2e
R0182,TerraBuild Materials,Construction,Australia,2025.0,Water,Water Consumption,N/A,2275.8,ML,Internal ESG System,SRC-2025-09,True,ML
R0183,TerraBuild Materials,Construction,Australia,2025.0,Workforce / ESG,Workforce Training Hours,N/A,49.7,hours,Internal ESG System,SRC-2025-09,True,hours
R0184,UrbanCore Logistics,Logistics,United States,2024.0,Workforce / ESG,Employee Turnover,N/A,22.9,%,Internal ESG System,SRC-2024-05,True,%
R0185,UrbanCore Logistics,Logistics,United States,2024.0,Energy,Energy Consumption,N/A,467514.4,MWh,Internal ESG System,SRC-2024-05,True,MWh
R0186,UrbanCore Logistics,Logistics,United States,2024.0,Climate Strategy,Net Zero Target,N/A,Yes,Yes/No,Internal ESG System,SRC-2024-05,True,Yes/No
R0187,UrbanCore Logistics,Logistics,United States,2024.0,Energy,Renewable Energy Consumption,N/A,179585.6,MWh,Internal ESG System,SRC-2024-05,True,MWh
R0188,UrbanCore Logistics,Logistics,United States,2024.0,Climate,Scope 1 Emissions,Emissions,54300.1,tCO2e,Internal ESG System,SRC-2024-05,True,tCO2e
R0189,UrbanCore Logistics,Logistics,United States,2024.0,Climate,Scope 2 Emissions,Emissions,18515.5,tCO2e,Internal ESG System,SRC-2024-05,True,tCO2e
R0190,UrbanCore Logistics,Logistics,United States,2024.0,Climate,Scope 3 Emissions,Emissions,54687.7,tCO2e,Internal ESG System,SRC-2024-05,True,tCO2e
R0191,UrbanCore Logistics,Logistics,United States,2024.0,Waste,Waste Recycled,,4378.2,tonnes,Internal ESG System,SRC-2024-05,True,tonnes
R0192,UrbanCore Logistics,Logistics,United States,2024.0,Water,Water Consumption,N/A,715.5,ML,Internal ESG System,SRC-2024-05,True,ML
R0193,UrbanCore Logistics,Logistics,United States,2024.0,Workforce / ESG,Workforce Training Hours,N/A,14.8,hours,Internal ESG System,SRC-2024-05,True,hours
R0194,UrbanCore Logistics,Logistics,United States,2025.0,Climate Strategy,Emissions Reduction Target,Emissions,58.0,%,Internal ESG System,SRC-2025-05,True,%
R0195,UrbanCore Logistics,Logistics,United States,2025.0,Workforce / ESG,Employee Turnover,N/A,5.4,%,Internal ESG System,SRC-2025-05,True,%
R0196,UrbanCore Logistics,Logistics,United States,2025.0,Energy,Energy Consumption,N/A,326492.0,MWh,Internal ESG System,SRC-2025-05,True,MWh
R0197,UrbanCore Logistics,Logistics,United States,2025.0,Climate Strategy,Net Zero Target,N/A,Yes,Yes/No,Internal ESG System,SRC-2025-05,True,Yes/No
R0198,UrbanCore Logistics,Logistics,United States,2025.0,Energy,Renewable Energy Consumption,N/A,162750.8,MWh,Internal ESG System,SRC-2025-05,True,MWh
R0199,UrbanCore Logistics,Logistics,United States,2025.0,Climate,Scope 3 Emissions,Emissions,114658.9,tCO2e,Internal ESG System,SRC-2025-05,True,tCO2e
R0200,UrbanCore Logistics,Logistics,United States,2025.0,Waste,Waste Generated,N/A,6811.6,tonnes,Internal ESG System,SRC-2025-05,True,tonnes
R0201,UrbanCore Logistics,Logistics,United States,2025.0,Waste,Waste Recycled,N/A,3364.4,tonnes,Internal ESG System,SRC-2025-05,True,tonnes
R0202,UrbanCore Logistics,Logistics,United States,2025.0,Water,Water Consumption,N/A,5588.2,ML,Internal ESG System,SRC-2025-05,True,ML
R0203,UrbanCore Logistics,Logistics,United States,2025.0,Workforce / ESG,Workforce Training Hours,N/A,51.1,hours,Internal ESG System,SRC-2025-05,True,hours
R0204,Vertex Electronics,Technology,Japan,2024.0,Climate Strategy,Emissions Reduction Target,Emissions,60.3,%,Internal ESG System,SRC-2024-04,True,%
R0205,Vertex Electronics,Technology,Japan,2024.0,Workforce / ESG,Employee Turnover,N/A,14.3,%,Internal ESG System,SRC-2024-04,True,%
R0206,Vertex Electronics,Technology,Japan,2024.0,Energy,Energy Consumption,N/A,375630.1,MWh,Internal ESG System,,True,MWh
R0207,Vertex Electronics,Technology,Japan,2024.0,Climate Strategy,Net Zero Target,N/A,No,Yes/No,Internal ESG System,SRC-2024-04,True,Yes/No
R0208,Vertex Electronics,Technology,Japan,2024.0,Energy,Renewable Energy Consumption,N/A,112946.3,MWh,Internal ESG System,SRC-2024-04,True,MWh
R0209,Vertex Electronics,Technology,Japan,2024.0,Climate,Scope 1 Emissions,Emissions,28200.7,tCO2e,Internal ESG System,SRC-2024-04,True,tCO2e
R0210,Vertex Electronics,Technology,Japan,2024.0,Waste,Waste Generated,N/A,7987.7,tonnes,Internal ESG System,SRC-2024-04,True,tonnes
R0211,Vertex Electronics,Technology,Japan,2024.0,Waste,Waste Recycled,N/A,4210.2,tonnes,Internal ESG System,SRC-2024-04,True,tonnes
R0212,Vertex Electronics,Technology,Japan,2024.0,Water,Water Consumption,N/A,1908.7,ML,Internal ESG System,SRC-2024-04,True,ML
R0213,Vertex Electronics,Technology,Japan,2024.0,Workforce / ESG,Workforce Training Hours,N/A,50.0,hours,Internal ESG System,SRC-2024-04,True,hours
R0214,Vertex Electronics,Technology,Japan,2025.0,Workforce / ESG,Employee Turnover,N/A,11.6,%,Internal ESG System,SRC-2025-04,True,%
R0215,Vertex Electronics,Technology,Japan,2025.0,Energy,Energy Consumption,N/A,285200.0,MWh,Internal ESG System,SRC-2025-04,True,MWh
R0216,Vertex Electronics,Technology,Japan,2025.0,Energy,Renewable Energy Consumption,N/A,101279.6,MWh,Internal ESG System,SRC-2025-04,True,MWh
R0217,Vertex Electronics,Technology,Japan,2025.0,Climate,Scope 1 Emissions,Emissions,38018.9,tCO2e,Internal ESG System,SRC-2025-04,True,tCO2e
R0218,Vertex Electronics,Technology,Japan,2025.0,Climate,Scope 3 Emissions,Emissions,67031.0,tCO2e,Internal ESG System,SRC-2025-04,True,tCO2e
R0219,Vertex Electronics,Technology,Japan,2025.0,Waste,Waste Generated,N/A,8311.7,tonnes,Internal ESG System,SRC-2025-04,True,tonnes
R0220,Vertex Electronics,Technology,Japan,2025.0,Workforce / ESG,Workforce Training Hours,N/A,20.5,hours,Internal ESG System,SRC-2025-04,True,hours
DUP001,Apex Manufacturing,Manufacturing,India,2024.0,Waste,Waste Recycled,N/A,6355.6,tonnes,Internal ESG System,SRC-2024-01,True,tonnes
DUP002,Northstar Foods,Retail,United Kingdom,2025.0,Workforce / ESG,Employee Turnover,N/A,12.5,%,Internal ESG System,SRC-2025-02,True,%
DUP003,UrbanCore Logistics,Logistics,United States,2024.0,Climate,Scope 2 Emissions,Emissions,18515.5,tCO2e,Internal ESG System,SRC-2024-05,True,tCO2e
